party,uid,nli_deberta,nli_bart,llm:Qwen/Qwen2.5-3B-Instruct,llm:microsoft/Phi-3.5-mini-instruct,llm:allenai/OLMo-2-1124-7B-Instruct,claim,title
dem,dem|20240417-assemblywoman-sorias-ab-2104-and-ab-3275-pass-first-policy-committees.txt|14|10.1377/hblog20191125.458213,support,silent,support,support,support,Small and rural hospitals rely on timely payments to operate efficiently and reduce financial vulnerability.,Understanding the Financial Vulnerability of Rural Hospitals: What do we Know?
dem,dem|20240418-state-assembly-fentanyl-committee-calls-emergency-efforts-increase-access-0.txt|9|https://www.dhcs.ca.gov/provgovpart/Documents/2025-SNAP-Report.pdf,silent,silent,refute,support,support,"California alone had over 7,300 deaths from opioid overdoses in 2023.",State Fiscal Year 2025 Statewide Needs Assessment and Planning Report
dem,dem|20240418-state-assembly-fentanyl-committee-calls-emergency-efforts-increase-access-0.txt|9|https://www.cdph.ca.gov/Programs/CCDPHP/opioids/Pages/Data.aspx,support,support,support,support,support,"California alone had over 7,300 deaths from opioid overdoses in 2023.",Data & Information on Opioid Overdoses in California
dem,dem|20240418-state-assembly-fentanyl-committee-calls-emergency-efforts-increase-access-0.txt|9|https://calhps.com/wp-content/uploads/2025/03/CA_OD_BRIEF-March-1.pdf,silent,silent,refute,support,support,"California alone had over 7,300 deaths from opioid overdoses in 2023.",Fatal Overdoses in California: 2018-2023
dem,dem|20240430-assemblywoman-schiavo-introduces-click-cancel-bill-protect-consumers.txt|3|https://www.cnbc.com/2022/06/02/consumers-spend-133-more-monthly-on-subscriptions-than-they-realize.html,support,support,support,support,support,Continuing to pay for unused subscriptions costs consumers approximately $133 more each month.,Consumers spend $133 more monthly on subscriptions than they realize
dem,dem|20240430-assemblywoman-schiavo-introduces-click-cancel-bill-protect-consumers.txt|3|https://www.cnbc.com/2022/09/06/consumers-underestimate-monthly-subscription-costs-by-at-least-100.html,silent,silent,refute,support,silent,Continuing to pay for unused subscriptions costs consumers approximately $133 more each month.,Consumers underestimate monthly subscription costs by at least $100
dem,dem|20240430-assemblywoman-schiavo-introduces-click-cancel-bill-protect-consumers.txt|3|https://www.self.inc/info/cost-of-unused-paid-subscriptions/,refute,silent,silent,silent,silent,Continuing to pay for unused subscriptions costs consumers approximately $133 more each month.,Cost of Unused Subscriptions
dem,dem|20240628-starting-monday-it-will-be-illegal-landlords-charge-more-one-months-rent.txt|7|https://a17.asmdc.org/press-releases/20231012-haneys-bill-ban-expensive-security-deposits-signed-governor,support,support,support,support,support,Capping high security deposits advances a measure of equity for immigrants and people of color in California.,Haney’s Bill to Ban Expensive Security Deposits Signed by Governor
dem,dem|20240628-starting-monday-it-will-be-illegal-landlords-charge-more-one-months-rent.txt|7|https://a17.asmdc.org/press-releases/20240628-starting-monday-it-will-be-illegal-landlords-charge-more-one-months-rent,support,support,support,support,support,Capping high security deposits advances a measure of equity for immigrants and people of color in California.,Starting Monday it will be illegal for Landlords to charge more than one month’s rent for a security deposit
dem,dem|20240628-starting-monday-it-will-be-illegal-landlords-charge-more-one-months-rent.txt|7|https://greenlining.org/2021/bipoc-renters-barriers-housing/,silent,silent,silent,support,support,Capping high security deposits advances a measure of equity for immigrants and people of color in California.,BIPOC Renters Face Too Many Barriers to Housing in California
dem,dem|20241202-assemblymember-mia-bonta-introduces-bills-support-reproductive-maternal.txt|1|10.1056/NEJMoa1708948,silent,silent,support,support,support,"Abortion is healthcare, including emergency care.",Abortion and Women's Health
dem,dem|20241202-assemblymember-mia-bonta-introduces-bills-support-reproductive-maternal.txt|1|10.2105/AJPH.2020.305952,support,support,support,support,support,"Abortion is healthcare, including emergency care.",Policy Implications of Abortion Prevention
dem,dem|20241202-assemblymember-mia-bonta-introduces-bills-support-reproductive-maternal.txt|1|10.1177/1073110515823810,support,silent,support,support,support,"Abortion is healthcare, including emergency care.",Emergency Care and Abortion Services in the United States
dem,dem|20241202-assemblymember-mia-bonta-introduces-bills-support-reproductive-maternal.txt|1|10.1001/jama.2019.2938,support,support,support,support,support,"Abortion is healthcare, including emergency care.","Abortion: The Role of Healthcare and Access, A Policy Perspective"
dem,dem|20250102-assemblywoman-pilar-schiavo-reappointed-serve-chair-assembly-military-and.txt|1|https://signalscv.com/2025/01/schiavo-reappointed-as-chair-of-military-and-veterans-affairs-committee/,silent,silent,support,support,support,"The Military and Veterans Affairs Committee plays a vital role in addressing the needs of California’s veterans, service members, and their families.",Schiavo reappointed as chair of Military and Veterans Affairs Committee
dem,dem|20250102-assemblywoman-pilar-schiavo-reappointed-serve-chair-assembly-military-and.txt|3|https://calmatters.digitaldemocracy.org/bills/ca_202320240ab535,support,support,support,support,support,"The legislation AB 535 ensures that veterans' disability benefits are not counted against them as income when determining eligibility for supportive, affordable",AB 535: Veterans’ aid and welfare: housing.
dem,dem|20250102-assemblywoman-pilar-schiavo-reappointed-serve-chair-assembly-military-and.txt|3|https://www.gov.ca.gov/2024/09/29/governor-newsom-signs-legislation-to-support-californias-veterans/,silent,silent,silent,support,support,"The legislation AB 535 ensures that veterans' disability benefits are not counted against them as income when determining eligibility for supportive, affordable",Governor Newsom signs legislation to support California’s veterans
dem,dem|20250102-assemblywoman-pilar-schiavo-reappointed-serve-chair-assembly-military-and.txt|3|https://www.padilla.senate.gov/newsroom/news-coverage/oc-register-lawmakers-push-to-prevent-veterans-from-losing-housing-aid-over-disability-benefits/,silent,silent,silent,support,support,"The legislation AB 535 ensures that veterans' disability benefits are not counted against them as income when determining eligibility for supportive, affordable",Lawmakers push to prevent veterans from losing housing aid over disability benefits
dem,dem|20250102-assemblywoman-pilar-schiavo-reappointed-serve-chair-assembly-military-and.txt|3|https://thecoastnews.com/hud-ends-practice-of-counting-veteran-disability-benefits-as-income/,silent,silent,support,support,support,"The legislation AB 535 ensures that veterans' disability benefits are not counted against them as income when determining eligibility for supportive, affordable",HUD ends practice of counting veteran disability benefits as income
dem,dem|20250219-lawmakers-advocates-introduce-legislation-protect-californians-dangerous.txt|2|10.1016/j.scitotenv.2024.158123,silent,silent,silent,support,silent,Recent tests suggest that nearly 12 million Californians are exposed to tap water with PFAS contamination.,Per- and polyfluoroalkyl substances (PFAS) in drinking water in Southeast Los Angeles: Industrial legacy and environment
dem,dem|20250219-lawmakers-advocates-introduce-legislation-protect-californians-dangerous.txt|2|10.1016/j.scitotenv.2023.161234,silent,silent,silent,support,silent,Recent tests suggest that nearly 12 million Californians are exposed to tap water with PFAS contamination.,Mitigating PFAS contamination in the United States: assessing the impact of California's legislation from 2018 to 2022 o
dem,dem|20250219-lawmakers-advocates-introduce-legislation-protect-californians-dangerous.txt|2|https://arxiv.org/abs/2510.03681,silent,silent,silent,support,silent,Recent tests suggest that nearly 12 million Californians are exposed to tap water with PFAS contamination.,Bayesian Variable Selection for Censored Spatial Responses with Application to PFAS Concentrations in California
dem,dem|20250219-lawmakers-advocates-introduce-legislation-protect-californians-dangerous.txt|2|https://arxiv.org/abs/2509.08186,silent,silent,silent,support,silent,Recent tests suggest that nearly 12 million Californians are exposed to tap water with PFAS contamination.,Drinking water contamination as a population-wide determinant of mortality in California
dem,dem|20250409-assemblymember-connolly-passes-four-bills-through-policy-committees.txt|3|https://legiscan.com/CA/text/AB419/id/3192709,refute,support,support,support,support,AB 419 requires schools to post the 'Immigration-Enforcement Actions at California Schools Guide for Students and Families' in schools and on their website.,California Assembly Bill 419 (AB 419) - Educational Equity: Immigration Enforcement
dem,dem|20250409-assemblymember-connolly-passes-four-bills-through-policy-committees.txt|3|https://www.marincounty.gov/departments/executive/budget-and-priority-setting/legislative-support-and-advocacy/mar-5-support-ab-419-educational-equity-immigration-enforcement?language=es,silent,silent,silent,support,support,AB 419 requires schools to post the 'Immigration-Enforcement Actions at California Schools Guide for Students and Families' in schools and on their website.,"Support for AB 419, Educational Equity: Immigration Enforcement"
dem,dem|20250424-connolly-passes-five-more-bills-through-policy-committees.txt|3|10.1176/appi.ps.20200001,silent,refute,refute,support,support,AB 384 removes delays to patient care during mental health and substance abuse emergencies by prohibiting health insurance plans from requiring prior authorizat,Reducing Barriers to Mental Health Care: The Role of Insurance Coverage
dem,dem|20250424-connolly-passes-five-more-bills-through-policy-committees.txt|3|10.1001/jama.2019.1984,refute,refute,refute,support,support,AB 384 removes delays to patient care during mental health and substance abuse emergencies by prohibiting health insurance plans from requiring prior authorizat,Insurance Prior Authorization and Mental Health Care Access
dem,dem|20250424-connolly-passes-five-more-bills-through-policy-committees.txt|3|10.1136/bmjopen-2020-045326,silent,refute,silent,support,silent,AB 384 removes delays to patient care during mental health and substance abuse emergencies by prohibiting health insurance plans from requiring prior authorizat,Patient Outcomes and Insurance Restrictions in Mental Health
dem,dem|20250424-connolly-passes-five-more-bills-through-policy-committees.txt|3|10.1080/09638237.2019.1644510,silent,refute,silent,support,silent,AB 384 removes delays to patient care during mental health and substance abuse emergencies by prohibiting health insurance plans from requiring prior authorizat,The Impact of Delayed Mental Health Services on Patient Wellbeing
dem,dem|20250424-connolly-passes-five-more-bills-through-policy-committees.txt|3|10.1176/appi.ps.2020.00134,silent,refute,silent,support,silent,AB 384 removes delays to patient care during mental health and substance abuse emergencies by prohibiting health insurance plans from requiring prior authorizat,Insurance Coverage for Behavioral Health Conditions
dem,dem|20250505-papan-bill-restrict-harmful-synthetic-chemicals-cosmetics-and-personal-care.txt|2|https://ncats.nih.gov/news-events/news/tox21-team-finds-environmental-chemicals-that-could-trigger-early-puberty-in-girls,silent,silent,support,support,support,"Musk chemicals have been linked to endocrine disruption, early puberty, and increased risks of breast cancer and infertility.",Tox21 Team Finds Environmental Chemicals That Could Trigger Early Puberty in Girls
dem,dem|20250505-papan-bill-restrict-harmful-synthetic-chemicals-cosmetics-and-personal-care.txt|2|https://pubmed.ncbi.nlm.nih.gov/39566420/,silent,silent,silent,support,silent,"Musk chemicals have been linked to endocrine disruption, early puberty, and increased risks of breast cancer and infertility.",Influence of exposure to endocrine disruptors and other environmental chemicals on breast development in girls: A system
dem,dem|20250505-papan-bill-restrict-harmful-synthetic-chemicals-cosmetics-and-personal-care.txt|2|https://pubmed.ncbi.nlm.nih.gov/33819127/,silent,silent,support,support,silent,"Musk chemicals have been linked to endocrine disruption, early puberty, and increased risks of breast cancer and infertility.",Endocrine disrupting chemicals and breast cancer: a systematic review of epidemiological studies
dem,dem|20250505-papan-bill-restrict-harmful-synthetic-chemicals-cosmetics-and-personal-care.txt|2|https://www.niehs.nih.gov/news/factor/2023/11/papers/endocrine-disruptors-alter-cell-differentiation,silent,silent,silent,support,support,"Musk chemicals have been linked to endocrine disruption, early puberty, and increased risks of breast cancer and infertility.",Risk for female reproductive cancer may increase after early-life exposure to endocrine-disrupting substances
dem,dem|20250505-papan-bill-restrict-harmful-synthetic-chemicals-cosmetics-and-personal-care.txt|2|https://pubmed.ncbi.nlm.nih.gov/20487042/,silent,silent,silent,support,silent,"Musk chemicals have been linked to endocrine disruption, early puberty, and increased risks of breast cancer and infertility.",Hypothesis: exposure to endocrine-disrupting chemicals may interfere with timing of puberty
dem,dem|20250505-papan-bill-restrict-harmful-synthetic-chemicals-cosmetics-and-personal-care.txt|4|10.1186/1476-069X-13-14,silent,silent,silent,silent,silent,"Exposure to nitro musks disproportionately affects women and young girls, particularly those in communities of color and lower-income areas.",Human exposure to nitro musks and the evaluation of their potential toxicity: an overview
dem,dem|20250505-papan-bill-restrict-harmful-synthetic-chemicals-cosmetics-and-personal-care.txt|4|10.1186/s12889-024-20235-z,silent,silent,silent,silent,silent,"Exposure to nitro musks disproportionately affects women and young girls, particularly those in communities of color and lower-income areas.",Using the Environmental Health Disparities Framework to understand Black and Latino perspectives of a local fertilizer p
dem,dem|20250505-papan-bill-restrict-harmful-synthetic-chemicals-cosmetics-and-personal-care.txt|4|10.1186/s12940-025-01200-8,silent,silent,silent,support,silent,"Exposure to nitro musks disproportionately affects women and young girls, particularly those in communities of color and lower-income areas.",Socioeconomic and racial-ethnic disparities in flame retardant exposure and executive function skills in preschool child
dem,dem|20250505-papan-bill-restrict-harmful-synthetic-chemicals-cosmetics-and-personal-care.txt|4|10.3998/ujph.2314,silent,silent,refute,support,silent,"Exposure to nitro musks disproportionately affects women and young girls, particularly those in communities of color and lower-income areas.",The Impact of Climate Change on Black Girls’ and Women’s Health: Using Theory to Mitigate and Organize
dem,dem|20250505-papan-bill-restrict-harmful-synthetic-chemicals-cosmetics-and-personal-care.txt|7|10.1002/jes2.773,silent,silent,support,support,support,Nitro musk chemicals have been detected in marine life and agricultural water supplies.,Presence of nitro musks in the aquatic environment and their consequences for aquatic organisms
dem,dem|20250505-papan-bill-restrict-harmful-synthetic-chemicals-cosmetics-and-personal-care.txt|7|10.1016/j.scitotenv.2019.03.156,silent,silent,support,support,support,Nitro musk chemicals have been detected in marine life and agricultural water supplies.,Nitro musks in river and marine sediments of southern Brazil: Occurrence and ecological risk assessment
dem,dem|20250505-papan-bill-restrict-harmful-synthetic-chemicals-cosmetics-and-personal-care.txt|7|10.1016/j.jhazmat.2019.02.041,silent,silent,silent,support,support,Nitro musk chemicals have been detected in marine life and agricultural water supplies.,Assessment and occurrence of nitro musks in urban water sources and their degradation in the aquatic environment
dem,dem|20250505-papan-bill-restrict-harmful-synthetic-chemicals-cosmetics-and-personal-care.txt|8|https://www.gov.ca.gov/2020/09/30/governor-newsom-signs-legislation-making-california-first-in-the-nation-to-ban-toxic-chemicals-in-cosmetics/,silent,support,silent,support,support,AB 60 brings California in line with global standards by adopting restrictions similar to those enforced in the European Union.,Governor Newsom Signs Legislation Making California First in the Nation to Ban Toxic Chemicals in Cosmetics
dem,dem|20250505-papan-bill-restrict-harmful-synthetic-chemicals-cosmetics-and-personal-care.txt|8|https://www.ewg.org/news-insights/news-release/2023/10/cosmetics-safety-milestone-california-gov-newsom-approves-ban-26,silent,silent,silent,support,support,AB 60 brings California in line with global standards by adopting restrictions similar to those enforced in the European Union.,Cosmetics safety milestone: California Gov. Newsom approves ban on 26 more toxic chemicals linked to health harms
dem,dem|20250505-papan-bill-restrict-harmful-synthetic-chemicals-cosmetics-and-personal-care.txt|8|https://www.pressdemocrat.com/article/news/california-bans-cosmetics-chemicals-following-eu-again/,silent,silent,silent,support,support,AB 60 brings California in line with global standards by adopting restrictions similar to those enforced in the European Union.,"California bans cosmetics chemicals, following EU (again)"
dem,dem|20250505-papan-bill-restrict-harmful-synthetic-chemicals-cosmetics-and-personal-care.txt|8|https://www.cosmeticsandtoiletries.com/regulations/safety/news/22711323/update-26-more-chemicals-that-could-get-your-products-banned-in-california,silent,silent,silent,support,support,AB 60 brings California in line with global standards by adopting restrictions similar to those enforced in the European Union.,[update] 26 More Chemicals That Could Get Your Products Banned in California
dem,dem|20250505-papan-bill-restrict-harmful-synthetic-chemicals-cosmetics-and-personal-care.txt|8|https://cosmeservice.com/news/california-cosmetic-law-targets-different-substances-pfas-formaldehyde-and-more/,silent,silent,silent,support,support,AB 60 brings California in line with global standards by adopting restrictions similar to those enforced in the European Union.,"California Cosmetic Law Targets different substances: PFAS, Formaldehyde and More"
dem,dem|assembly-appropriations-committee-passes-sb-10-stop-child-fentanyl-deaths-other-bills-senator.txt|1|10.1080/10584609.2023.2240190,silent,silent,refute,support,silent,SB 10 requires that school safety plans include protocols for responding to pupils suffering from an opioid overdose.,Action Plan and Model to Reduce Potential Opioid Overdose Deaths on K-12 Campuses
dem,dem|assembly-appropriations-committee-passes-sb-10-stop-child-fentanyl-deaths-other-bills-senator.txt|1|10.1007/s40670-024-02201-x,silent,silent,silent,silent,silent,SB 10 requires that school safety plans include protocols for responding to pupils suffering from an opioid overdose.,Integrating Training in Opioid Overdose Response in Medical Schools' Curricula: A Systematic Review
dem,dem|assembly-panel-unanimously-approves-the-fresh-act-to-fast-track.txt|3|https://www.usda.gov/about-usda/news/press-releases/2024/12/10/usda-announces-availability-113-billion-local-food-programs,support,silent,support,support,support,The new federal money would support local grocery stores and farms.,USDA Announces Availability of $1.13 Billion for Local Food Programs
dem,dem|assembly-panel-unanimously-approves-the-fresh-act-to-fast-track.txt|3|https://www.usda.gov/about-usda/news/press-releases/2024/10/01/usda-invests-17-billion-support-farmers-deliver-nutrition-assistance-and-bolster-rural-economies,support,support,support,support,support,The new federal money would support local grocery stores and farms.,"USDA Invests $1.7 Billion to Support Farmers, Deliver Nutrition Assistance, and Bolster Rural Economies"
dem,dem|assembly-panel-unanimously-approves-the-fresh-act-to-fast-track.txt|3|https://agriculture.ny.gov/news/governor-hochul-announces-10-million-expand-access-food-all-new-yorkers,silent,silent,support,support,support,The new federal money would support local grocery stores and farms.,Governor Hochul Announces $10 Million to Expand Access to Food for All New Yorkers
dem,dem|assembly-panel-unanimously-approves-the-fresh-act-to-fast-track.txt|3|https://www.pa.gov/agencies/pda/newsroom/shapiro-admin-announces--21m-to-strengthen-food-supply-chain----.html,support,silent,support,support,support,The new federal money would support local grocery stores and farms.,Shapiro Administration Announces $21 Million Investment to Strengthen Pennsylvania’s Food Supply Chain and Grow the Comm
dem,dem|assembly-panel-unanimously-approves-the-fresh-act-to-fast-track.txt|3|https://www.feedingflorida.org/staying-informed/news/2025-03-06-release-state-funding-enables-rural-grocers-expand-florida-grown-produce-supply,refute,refute,support,support,support,The new federal money would support local grocery stores and farms.,State Funding Enables Rural Grocers to Expand Florida-Grown Produce Supply
dem,dem|assembly-panel-unanimously-approves-the-fresh-act-to-fast-track.txt|6|10.1186/s40352-025-00358-0,silent,silent,silent,silent,silent,The FRESH Act creates a uniform process for reentry for all incarcerated individuals.,Peer support services for individuals with health-related needs reentering the community after incarceration: a scoping 
dem,dem|assembly-panel-unanimously-approves-the-fresh-act-to-fast-track.txt|6|https://arxiv.org/abs/2405.15669,silent,refute,silent,silent,silent,The FRESH Act creates a uniform process for reentry for all incarcerated individuals.,Enhancing Reentry Support Programs Through Digital Literacy Integration
dem,dem|be-part-change-change-power-advocacy-day-unites-voices-maternal-mental-health.txt|2|10.1186/s40748-025-00218-7,silent,silent,silent,support,silent,"1 in 3 birthing people are affected by perinatal mental health conditions, yet 75% go untreated.",Evaluating birthing individual and infant healthcare utilization and costs among individuals experiencing perinatal mood
dem,dem|be-part-change-change-power-advocacy-day-unites-voices-maternal-mental-health.txt|2|10.18043/001c.123264,silent,silent,silent,silent,silent,"1 in 3 birthing people are affected by perinatal mental health conditions, yet 75% go untreated.",Behavioral Health Trends Among Perinatal North Carolina Medicaid Beneficiaries
dem,dem|be-part-change-change-power-advocacy-day-unites-voices-maternal-mental-health.txt|2|10.15585/mmwr.ss7202a1,silent,silent,silent,silent,silent,"1 in 3 birthing people are affected by perinatal mental health conditions, yet 75% go untreated.",Perinatal and Postpartum Health Among People With Intellectual and Developmental Disabilities
dem,dem|bill-combat-online-sexual-exploitation-signed-law.txt|4|https://arxiv.org/abs/2504.19158,silent,refute,silent,support,silent,"SB 1210 provides survivors of online trafficking an avenue for relief, recourse and recovery.",SnuggleSense: Empowering Online Harm Survivors Through a Structured Sensemaking Process
dem,dem|bill-combat-online-sexual-exploitation-signed-law.txt|4|https://arxiv.org/abs/2509.12288,silent,refute,silent,silent,silent,"SB 1210 provides survivors of online trafficking an avenue for relief, recourse and recovery.",Digital Voices of Survival: From Social Media Disclosures to Support Provisions for Domestic Violence Victims
dem,dem|bill-combat-online-sexual-exploitation-signed-law.txt|4|https://arxiv.org/abs/2402.17393,silent,refute,silent,silent,silent,"SB 1210 provides survivors of online trafficking an avenue for relief, recourse and recovery.",Designing Chatbots to Support Victims and Survivors of Domestic Abuse
dem,dem|bill-combat-online-sexual-exploitation-signed-law.txt|4|https://arxiv.org/abs/2410.16507,silent,refute,silent,silent,silent,"SB 1210 provides survivors of online trafficking an avenue for relief, recourse and recovery.",How the Internet Facilitates Adverse Childhood Experiences for Youth Who Self-Identify as in Need of Services
dem,dem|bill-combat-online-sexual-exploitation-signed-law.txt|4|10.1001/jama.2023.1987,silent,refute,silent,support,silent,"SB 1210 provides survivors of online trafficking an avenue for relief, recourse and recovery.",Youth Survivors of Human Trafficking: On Improving Health Care Access and Treatment
dem,dem|bills-senator-becker-climate-action-digital-divide-justice-reform-and-voter-equity.txt|2|https://ww2.arb.ca.gov/2021-senate-bill-596-becker-josh-greenhouse-gases-cement-sector-net-zero-emissions-strategy,silent,silent,silent,support,support,"SB 596 sets a 2045 target date in California for carbon neutral cement and concrete, with a 40% emissions reduction by 2030.","2021 - Senate Bill 596 (Becker, Josh), Greenhouse Gases: Cement Sector: Net-Zero Emissions Strategy (Chaptered)"
dem,dem|bills-senator-becker-climate-action-digital-divide-justice-reform-and-voter-equity.txt|2|https://ww2.arb.ca.gov/sites/default/files/2025-03/Draft%20Net-Zero%20GHG%20Emissions%20Strategy%20for%20the%20Cement%20Sector.pdf,refute,silent,support,support,support,"SB 596 sets a 2045 target date in California for carbon neutral cement and concrete, with a 40% emissions reduction by 2030.",Draft Net-Zero GHG Emissions Strategy for the Cement Sector
dem,dem|bills-senator-becker-climate-action-digital-divide-justice-reform-and-voter-equity.txt|2|https://sd13.senate.ca.gov/news/may-24-2021/senate-passes-low-carbon-concrete-bill-senator-josh-becker,support,support,support,support,support,"SB 596 sets a 2045 target date in California for carbon neutral cement and concrete, with a 40% emissions reduction by 2030.",Senate Passes Low-Carbon Concrete Bill by Senator Josh Becker
dem,dem|bills-senator-becker-climate-action-digital-divide-justice-reform-and-voter-equity.txt|8|https://legiscan.com/CA/text/SB355/id/2421819/California-2021-SB355-Amended.html,support,support,support,support,support,SB 355 seeks to improve access to civil justice by updating eligibility criteria for low-income Californians seeking fee waivers.,California-2021-SB355-Amended
dem,dem|bills-senator-becker-climate-action-digital-divide-justice-reform-and-voter-equity.txt|8|https://sd13.senate.ca.gov/index.php/news/july-6-2021/bill-improve-low-income-californians-access-civil-court-fee-waivers-advances-state,support,support,support,support,support,SB 355 seeks to improve access to civil justice by updating eligibility criteria for low-income Californians seeking fee waivers.,Bill to Improve Low-Income Californians’ Access to Civil Court Fee Waivers Advances in State Legislature
dem,dem|bills-senator-becker-voter-and-environmental-justice-clear-first-hurdles.txt|2|https://www.calvoter.org/content/california-elections-officials-rejected-122000-ballots-2024-election-here%E2%80%99s-why,silent,silent,refute,support,support,"More than 100,000 mail-in ballots were rejected in California's March primary election.","California elections officials rejected 122,000 ballots in 2024 election. Here’s why"
dem,dem|bills-senator-becker-voter-and-environmental-justice-clear-first-hurdles.txt|2|https://www.cbsnews.com/sanfrancisco/news/california-secretary-of-state-over-99-of-mail-in-ballots-accepted-in-presidential-election/,silent,silent,refute,silent,silent,"More than 100,000 mail-in ballots were rejected in California's March primary election.",California Secretary Of State: Over 99% Of Mail-In Ballots Accepted In Presidential Election
dem,dem|bills-senator-becker-voter-and-environmental-justice-clear-first-hurdles.txt|2|https://californiaglobe.com/fr/100000-mail-in-ballots-rejected-by-ca-election-officials-in-march-primary/,support,support,support,support,support,"More than 100,000 mail-in ballots were rejected in California's March primary election.","100,000 Mail-In Ballots Rejected By CA Election Officials in March Primary"
dem,dem|bills-senator-becker-voter-and-environmental-justice-clear-first-hurdles.txt|2|https://padailypost.com/2020/07/13/100000-ballots-went-uncounted-in-march-primary/,support,support,support,support,support,"More than 100,000 mail-in ballots were rejected in California's March primary election.","100,000 ballots went uncounted in March primary; San Mateo County had fifth highest ballot rejection rate"
dem,dem|bills-senator-becker-voter-and-environmental-justice-clear-first-hurdles.txt|2|https://www.kqed.org/news/11837810/study-finds-young-voters-more-likely-to-have-mail-ballots-rejected,silent,silent,silent,silent,silent,"More than 100,000 mail-in ballots were rejected in California's March primary election.",Study Finds Young Voters More Likely to Have Mail Ballots Rejected
dem,dem|el-senador-cortese-defiende-el-desarrollo-economico-traves-del-ley-de-expansion-del-centro-de.txt|3|10.1007/s11042-020-09283-7,support,support,support,support,support,Los centros de datos son fundamentales para respaldar una amplia gama de servicios digitales y tecnologías nuevas y emergentes como la inteligencia artificial.,Data Centers and Their Role in Supporting Economic Growth
dem,dem|el-senador-cortese-defiende-el-desarrollo-economico-traves-del-ley-de-expansion-del-centro-de.txt|3|10.1145/3292500.3292534,support,support,support,support,support,Los centros de datos son fundamentales para respaldar una amplia gama de servicios digitales y tecnologías nuevas y emergentes como la inteligencia artificial.,The Economic Impact of Data Centers in Urban Areas
dem,dem|el-senador-cortese-defiende-el-desarrollo-economico-traves-del-ley-de-expansion-del-centro-de.txt|3|https://arxiv.org/abs/2001.03456,support,support,support,support,support,Los centros de datos son fundamentales para respaldar una amplia gama de servicios digitales y tecnologías nuevas y emergentes como la inteligencia artificial.,The Future of AI and the Role of Data Infrastructure
dem,dem|fifteen-becker-bills-climate-action-social-justice-education-child.txt|3|https://autl.assembly.ca.gov/sites/autl.assembly.ca.gov/files/SB%20887%20%28Becker%29.pdf,support,support,support,support,support,SB 887 accelerates the construction of transmission needed to deliver new clean energy resources in California.,SB 887
dem,dem|fifteen-becker-bills-climate-action-social-justice-education-child.txt|3|https://seuc.senate.ca.gov/sites/seuc.senate.ca.gov/files/sb_887_analysis.pdf,support,silent,support,support,support,SB 887 accelerates the construction of transmission needed to deliver new clean energy resources in California.,"SENATE COMMITTEE ON ENERGY, UTILITIES AND"
dem,dem|fifteen-becker-bills-climate-action-social-justice-education-child.txt|3|https://www.ucs.org/resources/understanding-californias-transmission-development-delays-and-paths-reform,silent,silent,support,support,support,SB 887 accelerates the construction of transmission needed to deliver new clean energy resources in California.,Understanding California’s Transmission Development Delays and Paths to Reform
dem,dem|fifteen-becker-bills-climate-action-social-justice-education-child.txt|3|https://arxiv.org/abs/2507.18077,silent,silent,silent,silent,silent,SB 887 accelerates the construction of transmission needed to deliver new clean energy resources in California.,Carbon Emission Flow Tracing: Fast Algorithm and California Grid Study
dem,dem|fifteen-becker-bills-climate-action-social-justice-education-child.txt|3|https://arxiv.org/abs/2210.04351,silent,silent,refute,silent,silent,SB 887 accelerates the construction of transmission needed to deliver new clean energy resources in California.,California Test System (CATS): A Geographically Accurate Test System based on the California Grid
dem,dem|fifteen-becker-bills-climate-action-social-justice-education-child.txt|7|https://legiscan.com/CA/text/SB1008/id/2609318,support,support,silent,support,support,SB 1008 eliminates telecom fees for communications to and from incarcerated people in California prisons or jails.,California Senate Bill 1008 (2021–2022) – Corrections: Communications
dem,dem|fifteen-becker-bills-climate-action-social-justice-education-child.txt|7|https://spsf.senate.ca.gov/sites/spsf.senate.ca.gov/files/sb_1008_analysis_4.26.22.pdf,support,support,support,support,support,SB 1008 eliminates telecom fees for communications to and from incarcerated people in California prisons or jails.,Senate Committee on Public Safety Analysis of SB 1008
dem,dem|fifteen-becker-bills-climate-action-social-justice-education-child.txt|7|https://acom.assembly.ca.gov/sites/acom.assembly.ca.gov/files/SB%201008%20%28Becker%29%20Analysis.pdf,silent,silent,silent,support,silent,SB 1008 eliminates telecom fees for communications to and from incarcerated people in California prisons or jails.,Assembly Committee on Communications and Conveyance Analysis of SB 1008
dem,dem|fifteen-becker-bills-climate-action-social-justice-education-child.txt|10|https://sd13.senate.ca.gov/news/press-release/february-9-2022/senator-becker-introduces-bill-to-cut-costs-affordable-housing,support,support,refute,support,support,SB 948 allows for more efficient use of resources for affordable housing projects in California.,Senator Becker Introduces Bill to Cut Costs for Affordable Housing Projects in California
dem,dem|fifteen-becker-bills-climate-action-social-justice-education-child.txt|10|https://www.housingca.org/wp-content/uploads/2022/03/SB-948-HCD-Pooled-Reserve-Fact-Sheet-2.9.22-2.pdf,support,support,silent,support,support,SB 948 allows for more efficient use of resources for affordable housing projects in California.,SB 948 – Affordable Housing Pooled Reserves
dem,dem|fifteen-becker-bills-climate-action-social-justice-education-child.txt|10|https://www.allhomeca.org/wp-content/uploads/2022/04/SB-948-LoS-All-Home.pdf,silent,silent,support,support,support,SB 948 allows for more efficient use of resources for affordable housing projects in California.,SB 948 (Becker) - Support
